,complex-name,gb-complex-etot,gb-complex-1-4-eel,gb-complex-eelec,gb-complex-egb,gb-complex-esurf,gb-protein-etot,gb-protein-1-4-eel,gb-protein-eelect,gb-protein-egb,gb-protein-esurf,gb-ligand-etot,gb-ligand-1-4-eel,gb-ligand-eelec,gb-ligand-egb,gb-ligand-esurf,pb-complex-etot,pb-complex-vdwaals,pb-complex-eelect,pb-complex-epb,pb-complex-ecavity,pb-protein-etot,pb-protein-vdwaals,pb-protein-eelec,pb-protein-epb,pb-protein-ecavity,pb-ligand-etot,pb-ligand-vdwaals,pb-ligand-eelec,pb-ligand-epb,pb-ligand-ecavity,ddg,enthalpy-gb,entropy
63,1bai,-10443.8628,9167.6123,-16740.1849,-2931.5896,60.2994,-10391.4008,8620.0662,-16029.9922,-3044.0456,62.5709,-260.4086,547.5462,-548.0456,-266.2277,6.3185,-21825.7356,-2240.3492,-16740.1849,-2905.5009,60.2994,-21130.3726,-2134.65,-16029.9922,-3028.3012,62.5709,-830.2545,-26.7787,-548.0456,-261.7487,6.3185,-10.63794313,129.026099999997,139.664043129997
64,1bcd,-9218.7987,13166.7268,-19705.6097,-2738.3752,58.4594,-9329.5877,12995.0765,-19700.1738,-2683.2124,58.722,43.7719,171.6503,-54.5645,-74.5731,1.2592,-24820.7972,-2492.9912,-19705.6097,-2680.6556,58.4594,-24752.7609,-2474.8299,-19700.1738,-2636.4792,58.722,-124.9623,-0.0448,-54.5645,-71.6121,1.2592,-12.01949419,48.9006000000009,60.9200941900009
65,1bcu,-10507.9532,9850.1029,-16804.4889,-3614.918,61.3508,-10371.5958,10098.0947,-16831.4821,-3699.8624,61.654,-143.7985,-247.9918,152.6476,-50.6196,2.1652,-19598.3634,726.1147,-16804.4889,-3581.34,61.3508,-19674.9058,761.4389,-16831.4821,-3666.5166,61.654,101.6363,-2.1414,152.6476,-51.0351,2.1652,-4.531487463,-25.7417000000005,-21.2102125370005
66,1bdq,-6850.2431,8765.9065,-13425.4984,-2239.1115,48.4603,-6842.8185,8803.9503,-13445.1068,-2252.1419,50.4799,-128.9867,-38.0438,-17.6078,-77.6274,4.2923,-17340.221,-1752.4207,-13425.4984,-2210.7621,48.4603,-17277.1772,-1663.6369,-13445.1068,-2218.9134,50.4799,-108.7216,-16.0724,-17.6078,-79.3337,4.2923,-8.759033694,48.8507000000009,57.6097336940009
67,1bgq,-17729.6268,18343.6548,-29934.1699,-6234.3375,95.2258,-17634.3989,18576.3057,-30041.0161,-6265.7861,96.0976,-120.039,-232.6509,143.2893,-33.3642,2.6869,-40175.575,-4129.6041,-29934.1699,-6207.0268,95.2258,-40268.0527,-4086.2667,-30041.0161,-6236.8675,96.0976,109.656,-2.2318,143.2893,-34.0883,2.6869,-11.83989255,-16.2945,-4.45460744999997
68,1bhf,-5237.8906,3612.8764,-7396.4947,-1487.3222,33.0499,-4879.1821,3242.9336,-6736.4203,-1418.7262,33.0307,-370.412,369.9428,-190.2658,-555.0573,4.9683,-9816.042,-974.8864,-7396.4947,-1477.7109,33.0499,-9016.774,-907.0252,-6736.4203,-1406.3592,33.0307,-747.2365,-14.4661,-190.2658,-547.4729,4.9683,-6.051193624,-41.6916000000001,-35.6404063760001
69,1bhx,-10344.4716,9548.2465,-16400.0191,-3550.9431,58.2441,-10120.4736,9613.9654,-16229.5382,-3563.4917,58.5909,-228.7952,-65.7189,-78.0108,-88.8031,3.7377,-18940.4666,908.0305,-16400.0191,-3506.7222,58.2441,-18722.958,968.9991,-16229.5382,-3521.0099,58.5909,-170.7281,-9.4563,-78.0108,-86.9986,3.7377,-9.449809222,-46.7150999999994,-37.2652907779994
70,1bju,-6760.7927,10861.4858,-15632.1587,-2035.5836,45.4638,-6586.5969,11135.253,-15786.1633,-1981.5357,45.8491,-182.7608,-273.7671,154.6369,-66.3523,2.7218,-14764.9562,2872.1608,-15632.1587,-2050.4221,45.4638,-14821.9822,2912.6941,-15786.1633,-1994.3622,45.8491,90.2896,-0.5263,154.6369,-66.5427,2.7218,-6.631445068,-31.4420000000005,-24.8105549320005
71,1bjv,-6664.8269,10971.0904,-15456.974,-2225.477,46.5337,-6488.4216,11241.2093,-15655.485,-2120.8318,46.6858,-188.3574,-270.1189,146.9592,-68.5318,3.3341,-14740.1238,2906.7031,-15456.974,-2236.3867,46.5337,-14791.378,2950.3661,-15655.485,-2132.9449,46.6858,79.4794,-1.8338,146.9592,-68.9801,3.3341,-7.653792849,-29.8771000000002,-22.2233071510002
72,1bm7,-15374.9911,22199.1617,-31106.0129,-6557.1471,89.0073,-15286.655,22269.3569,-31227.9452,-6417.9024,89.8357,-96.905,-70.1953,43.1886,-72.2692,2.3708,-41808.336,-4280.4426,-31106.0129,-6510.8878,89.0073,-41756.8818,-4248.7723,-31227.9452,-6370.0,89.8357,-23.517,1.5224,43.1886,-70.5988,2.3708,-10.38926394,-24.6238000000012,-14.2345360600012
73,1bma,-9203.0219,8504.5643,-15806.0651,-1954.6314,53.1103,-9270.8529,8375.4742,-15800.9895,-1899.1251,53.7874,44.9488,129.0902,-24.6932,-63.6716,4.2235,-16796.8386,917.6974,-15806.0651,-1961.5812,53.1103,-16669.2867,987.2949,-15800.9895,-1909.3796,53.7874,-94.2376,-10.389,-24.6932,-63.379,4.2235,-6.341319346,-36.3263000000006,-29.9849806540006
74,1bn1,-9565.227,12456.4232,-19544.3439,-2535.4842,58.1779,-9218.4449,12929.7069,-19648.2809,-2558.4235,58.5527,-386.8347,-473.2837,121.746,-38.1234,2.8263,-24510.5246,-2534.3427,-19544.3439,-2490.0159,58.1779,-24602.4007,-2497.6071,-19648.2809,-2515.0652,58.5527,83.0315,-3.1485,121.746,-38.3923,2.8263,-12.90368686,6.46550000000025,19.3691868600002
75,1bn3,-9571.1296,12469.2292,-19512.5059,-2585.9174,58.0646,-9251.3977,12993.5239,-19696.2672,-2607.0768,58.4223,-355.1789,-524.2947,204.0149,-37.7842,2.885,-24502.758,-2511.414,-19512.5059,-2536.9026,58.0646,-24672.1598,-2474.2134,-19696.2672,-2560.1015,58.4223,166.9685,-3.2053,204.0149,-36.7261,2.885,-13.66353994,1.45169999999962,15.1152399399996
76,1bn4,-9582.6111,12444.3199,-19466.1657,-2619.0776,58.3123,-9230.7947,12922.4201,-19568.4669,-2643.3896,58.6417,-395.1147,-478.1001,120.0286,-39.9568,2.9137,-24508.8233,-2528.9313,-19466.1657,-2572.0386,58.3123,-24602.5458,-2494.4568,-19568.4669,-2598.2639,58.6417,81.0823,-2.4928,120.0286,-39.3671,2.9137,-12.86224033,11.3166000000001,24.1788403300001
77,1bnn,-9627.0205,12439.1872,-19451.4653,-2672.6155,57.8731,-9288.8437,12985.6895,-19640.1198,-2692.7622,58.3488,-373.8975,-546.5023,208.3161,-38.5989,2.8876,-24526.5462,-2511.4715,-19451.4653,-2621.4825,57.8731,-24697.9958,-2472.4501,-19640.1198,-2643.7747,58.3488,169.3344,-3.9179,208.3161,-37.9514,2.8876,-13.81551056,0.617199999998775,14.4327105599988
78,1bnq,-9475.4179,12549.5173,-19410.9733,-2671.0961,57.1342,-9182.9141,12881.0715,-19434.7844,-2687.1594,57.9582,-348.1948,-331.5542,84.3627,-103.96,2.9567,-24494.8155,-2520.478,-19410.9733,-2620.4983,57.1342,-24490.2176,-2472.7283,-19434.7844,-2640.6631,57.9582,-19.8675,-6.1269,84.3627,-101.06,2.9567,-13.11091952,14.0682000000015,27.1791195200015
79,1bnt,-9482.9052,12516.3012,-19399.0519,-2656.8532,56.6987,-9202.9182,12888.104,-19463.8997,-2684.1787,57.0562,-329.7717,-371.8028,83.0804,-43.9618,2.9125,-24469.059,-2514.3204,-19399.0519,-2612.3853,56.6987,-24521.7623,-2475.4975,-19463.8997,-2639.4214,57.0562,38.8703,-3.9676,83.0804,-43.155,2.9125,-13.53920035,14.9293999999991,28.4686003499991
80,1bnu,-9468.135,12566.3179,-19461.7487,-2629.1476,56.4434,-9189.4229,12927.1891,-19509.1254,-2664.5449,57.0584,-335.8689,-360.8712,64.8992,-42.6366,2.7396,-24505.4866,-2511.8891,-19461.7487,-2588.2922,56.4434,-24544.9729,-2472.4538,-19509.1254,-2620.4522,57.0584,22.2755,-3.6286,64.8992,-41.7347,2.7396,-13.40104524,21.3500999999978,34.7511452399978
81,1bnv,-9561.053,12535.1573,-19477.127,-2676.8405,57.7573,-9245.1165,12943.67,-19582.7268,-2664.5005,58.4408,-364.6222,-408.5128,134.4649,-93.6474,3.0731,-24557.9619,-2506.78,-19477.127,-2631.8122,57.7573,-24611.0153,-2460.9397,-19582.7268,-2625.7896,58.4408,40.1014,-6.1996,134.4649,-91.237,3.0731,-12.11620276,9.04499999999825,21.1612027599983
82,1bnw,-9536.8342,12413.0954,-19322.6333,-2684.2698,56.9734,-9196.4229,12902.3231,-19442.3405,-2713.7618,57.3563,-389.0958,-489.2276,135.3833,-37.8721,2.6206,-24397.6034,-2496.3695,-19322.6333,-2635.5739,56.9734,-24511.878,-2461.0842,-19442.3405,-2665.8096,57.3563,99.3949,-2.4573,135.3833,-36.1517,2.6206,-12.54448359,15.8564999999999,28.4009835899999
83,1bp0,-23132.3028,30107.5198,-43347.046,-10024.1682,131.3916,-22745.8616,30596.7781,-43422.2924,-10052.2879,131.9406,-414.3873,-489.2583,126.7604,-54.3144,2.425,-59516.8583,-6380.8947,-43347.046,-9920.3091,131.3916,-59592.1301,-6349.6872,-43422.2924,-9952.0911,131.9406,73.4778,-2.5799,126.7604,-53.1276,2.425,-7.460375701,-0.681500000002416,6.77887570099758
84,1bq4,-37543.2361,42375.3225,-68857.662,-11240.7635,179.8669,-37153.2113,41852.1481,-67701.583,-11484.5922,180.8158,-445.1674,523.1744,29.8455,-1000.4879,2.3006,-88960.3712,-9423.2825,-68857.662,-10859.2936,179.8669,-87985.2709,-9393.3415,-67701.583,-11071.1621,180.8158,-958.6182,-5.8105,29.8455,-984.9538,2.3006,-7.211696511,31.0120999999999,38.2237965109999
85,1br6,-11904.3974,7533.9042,-16934.6961,-2567.9047,64.2992,-11609.6585,7927.3581,-17137.5587,-2464.1739,64.716,-358.1279,-393.4538,242.4671,-209.7851,2.644,-21959.5012,-2520.5029,-16934.6961,-2568.6014,64.2992,-22018.0069,-2475.6541,-17137.5587,-2469.5101,64.716,33.979,-4.1966,242.4671,-206.9355,2.644,-4.4485944,22.7368000000006,27.1853944000006
86,1bty,-6378.6095,11272.3482,-15666.0353,-2031.1573,46.2349,-6302.2145,11344.8499,-15686.8063,-2006.9068,46.6488,-71.5255,-72.5017,56.1107,-56.7198,1.5853,-14731.8145,2930.5779,-15666.0353,-2042.5919,46.2349,-14705.5216,2955.5279,-15686.8063,-2020.8919,46.6488,0.9968,-0.4165,56.1107,-56.2827,1.5853,-6.548552004,-29.4029999999993,-22.8544479959993
87,1bv7,-7166.7829,8625.1847,-14051.5146,-1787.609,47.156,-7036.6379,8764.9785,-13952.3544,-1898.3873,49.1252,-215.7892,-139.7938,-27.3342,-54.0151,5.3539,-17607.2958,-1825.6221,-14051.5146,-1777.3151,47.156,-17503.2056,-1715.4155,-13952.3544,-1884.5609,49.1252,-93.157,-15.6269,-27.3342,-55.5498,5.3539,-14.22997587,-8.93549999999959,5.29447587000041
88,1bv9,-7200.5399,8520.8331,-13992.7841,-1775.3831,46.7942,-7083.4578,8660.2481,-13900.0348,-1892.2915,48.6204,-215.2686,-139.415,-27.7718,-53.5031,5.4213,-17548.053,-1839.4423,-13992.7841,-1762.6207,46.7942,-17453.988,-1730.9331,-13900.0348,-1871.6405,48.6204,-93.1758,-15.419,-27.7718,-55.4063,5.4213,-13.76024852,5.09629999999925,18.8565485199992
89,1bwa,-7174.3659,8547.7747,-14007.7907,-1761.2327,46.8828,-7048.4119,8687.1978,-13913.7792,-1870.5974,48.7669,-215.5171,-139.4231,-27.7791,-53.7111,5.3962,-17546.4101,-1835.2453,-14007.7907,-1750.257,46.8828,-17446.8336,-1730.8651,-13913.7792,-1850.9561,48.7669,-93.4749,-15.3497,-27.7791,-55.7424,5.3962,-11.88133908,0.532600000000457,12.4139390800005
90,1bwb,-7237.2684,8419.227,-13821.9993,-1881.9153,47.4192,-7047.8763,8671.3649,-13756.1625,-2012.2262,49.1475,-282.5571,-252.138,27.851,-64.4021,6.132,-17486.628,-1840.2991,-13821.9993,-1871.7489,47.4192,-17428.9934,-1728.4067,-13756.1625,-1993.5716,49.1475,-48.3949,-16.2306,27.851,-66.1473,6.132,-11.63265989,-2.49679999999898,9.13585989000102
91,1bxr,-44706.298,40071.1927,-72663.8079,-12287.437,173.7542,-43547.0963,42299.9263,-73299.2839,-12722.5307,174.7919,-1368.0568,-2228.7336,1046.831,-189.4571,3.303,-95274.7849,-10730.7787,-72663.8079,-12053.9524,173.7542,-96246.3451,-10661.2037,-73299.2839,-12460.6495,174.7919,861.7361,-7.1266,1046.831,-181.2712,3.303,-4.69727359,146.406699999992,151.103973589992
93,1bzc,-12419.9112,12892.9349,-21154.82,-4223.9162,65.8901,-12302.1111,12782.4905,-20810.6222,-4340.2635,66.2841,-201.4694,110.4444,-185.3324,-129.826,3.2446,-28254.2252,-3017.5699,-21154.82,-4147.7253,65.8901,-27973.601,-2970.5079,-20810.6222,-4258.7551,66.2841,-310.9797,-3.6562,-185.3324,-125.2357,3.2446,-6.797231195,40.2634999999991,47.0607311949991
94,1bzy,-33824.1924,36885.7774,-62318.408,-8538.1521,146.5903,-33548.189,37115.0766,-62051.6299,-8758.9846,147.349,-330.4307,-229.2991,18.4003,-122.271,2.7391,-79070.6981,-8555.5913,-62318.408,-8343.2891,146.5903,-78963.8698,-8510.5956,-62051.6299,-8548.9932,147.349,-107.5595,-4.2188,18.4003,-124.4801,2.7391,-11.52213581,13.6503999999986,25.1725358099986
95,1c1r,-6728.787,10945.0569,-15481.4512,-2238.2816,45.8889,-6583.9762,11128.433,-15693.392,-2065.4276,46.4104,-161.5658,-183.3761,176.3941,-157.4115,2.8277,-14824.0929,2852.0984,-15481.4512,-2240.629,45.8889,-14818.7657,2894.65,-15693.392,-2066.4341,46.4104,19.6932,-2.7846,176.3941,-156.744,2.8277,-10.54123456,-23.0120000000006,-12.4707654400006
96,1c1u,-10354.3709,9144.1246,-16136.6685,-3422.5378,60.7108,-10206.5348,9354.2015,-16172.9137,-3449.0735,61.251,-167.4318,-210.0769,121.8287,-81.9926,2.809,-18553.9636,900.5139,-16136.6685,-3378.5199,60.7108,-18579.0054,937.7993,-16172.9137,-3405.1419,61.2509,39.9953,-2.3143,121.8287,-82.3281,2.809,-11.39779621,-15.3754000000008,-3.97760379000081
98,1c3x,-28447.0897,30876.7837,-47753.7571,-11716.8414,146.7252,-28251.2517,31166.2296,-47827.3392,-11737.444,147.3017,-197.37,-289.446,116.5506,-26.1488,1.6742,-66364.7287,-7104.07,-47753.7571,-11653.6268,146.7252,-66437.3147,-7075.6435,-47827.3392,-11681.6337,147.3017,91.9547,-1.1311,116.5506,-25.139,1.6742,-5.084107885,-25.7634000000035,-20.6792921150035
99,1c4u,-10246.5339,9539.9664,-16257.3849,-3587.9949,58.8796,-10033.8565,9761.1302,-16250.4646,-3603.8164,59.2943,-226.9781,-221.1639,79.6042,-89.2213,3.8029,-18503.0593,1238.0404,-16257.3849,-3542.5943,58.8796,-18448.3642,1301.3646,-16250.4646,-3558.5585,59.2943,-16.6162,-12.1408,79.6042,-87.8825,3.8029,-14.32668445,-36.8827000000019,-22.5560155500019
100,1c5c,-15242.9709,18816.8406,-30040.2229,-4119.2845,99.6959,-14853.3253,19264.0299,-29980.1793,-4237.6646,100.4887,-396.3468,-447.1893,135.9253,-87.6175,2.5347,-34456.9705,-381.4122,-30040.2229,-4135.0313,99.6959,-34485.7926,-357.5395,-29980.1793,-4248.5626,100.4887,57.5869,7.2891,135.9253,-88.1622,2.5347,-9.615595348,-24.4606000000003,-14.8450046520003
